"Cod.Cliente","Nome Cliente","Cidade","Estado"
"30156","DMA DISTRIBUIDORA S/A","BELO HORIZONTE","MG"
"30156","DMA DISTRIBUIDORA S/A","BELO HORIZONTE","MG"
"80165","C. DANTAS DE LIMA BARBOSA E CIA LTDA","DELMIRO GOUVEIA","AL"
"80165","C. DANTAS DE LIMA BARBOSA E CIA LTDA","DELMIRO GOUVEIA","AL"
"79621","SENDAS DISTRIBUIDORA S/A","SAO JOSE DO RIO PRETO","SP"
"79621","SENDAS DISTRIBUIDORA S/A","SAO JOSE DO RIO PRETO","SP"
"79621","SENDAS DISTRIBUIDORA S/A","SAO JOSE DO RIO PRETO","SP"
"79657","VICHESSE SGARIBOLDI SUPERMERCADOS LTDA","SANTA BARBARA D'OESTE","SP"
"78390","ABV COMERCIO DE ALIMENTOS LTDA","AQUIDAUANA","MS"
"49763","IRMAOS MUFFATO S.A","CAMBE","PR"
"49763","IRMAOS MUFFATO S.A","CAMBE","PR"
"52648","COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS","MORRINHOS","GO"
"52648","COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS","MORRINHOS","GO"
"52648","COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS","MORRINHOS","GO"
"78756","5M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA","SANTO ANDRE","SP"
"78756","5M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA","SANTO ANDRE","SP"
"78756","5M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA","SANTO ANDRE","SP"
